Tingresso;Solvente;Nd/PB;Al/Nd;S/Bde;Mooney;VEI;;;
29.4663;30003.6;1.96452;5.88494;6.00264;41.2;0.91;;;
29.3233;30008.8;1.96855;5.87461;6.00106;40.8;0.91;;;
29.2119;29999.2;1.98207;5.82938;5.9996;38.8;0.92;;;
29.2523;30012.4;1.98238;5.79447;6.00642;38.6;0.88;;;
32.1935;30009.8;1.98835;5.79098;6.00157;37.3;0.88;;;
34.1199;30028.9;1.83269;6.03725;6.00526;41;0.86;;;
30.5015;29966.8;1.78801;5.71205;5.99352;41.3;0.87;;;
30.2093;30003.6;1.78309;5.80321;5.99622;44;0.88;;;
29.959;29984.1;1.77951;5.68185;5.99628;43;0.85;;;
29.8084;30020;1.70679;5.99015;6.00296;42.9;0.9;;;
29.6797;29994;1.95256;5.60135;5.99787;41.1;0.89;;;
29.5891;29998.2;1.99322;5.53391;6.00138;39.2;0.84;;;
29.5642;30001.1;1.9943;5.47968;6.00002;41.9;0.91;;;
29.7975;30012.2;1.98433;5.52004;6.00231;41.2;0.87;;;
30.0103;30001.1;1.97777;5.5461;6.00247;39.7;0.87;;;
30.5731;30004.8;1.89375;5.79512;6.00288;37.6;0.87;;;
30.6085;29101.1;1.85716;5.91415;5.81916;39.5;0.87;;;
30.4946;29002.1;1.84282;5.81212;5.8;42.5;0.86;;;
30.2313;28955;1.84581;5.48545;5.79294;43.3;0.85;;;
29.8866;28985.4;1.83556;5.4973;5.79671;47.4;0.91;;;
29.7435;22845.6;1.85001;5.43961;5.82008;49.6;0.9;;;
29.6167;20292.2;1.8019;5.38692;5.79899;49.2;0.92;;;
29.8094;20289.8;1.87206;5.22297;5.79727;51.3;0.95;;;
29.5342;20304.7;1.8623;5.34497;5.79968;53.3;0.95;;;
29.4914;20305.2;1.93248;5.23381;5.80049;55.2;0.93;;;
29.5528;20284.1;2.08887;4.84277;5.79896;56.4;0.96;;;
29.7207;20288.6;2.09747;4.84817;5.80101;55.3;0.96;;;
28.3904;20312.8;2.11101;4.83254;5.80553;58.3;0.97;;;
25.3896;20276.6;2.10887;4.80764;5.78944;56.5;1;;;
25.3386;20296.1;2.11019;4.81976;5.79671;54.5;0.98;;;
25.3613;20293.1;2.1171;4.91346;5.79544;52.5;1.01;;;
25.3409;20314.3;2.12582;4.99235;5.80416;51.9;1.03;;;
25.3924;20306.4;2.11769;5.1426;5.79964;49.6;0.94;;;
25.3911;20289.9;2.11393;5.05384;5.79564;46.3;0.95;;;
25.3168;20305.4;2.10969;5.23635;5.79996;46.2;0.99;;;
25.2519;20299.7;2.11016;5.24483;5.80021;46.2;0.99;;;
25.2848;20299.4;2.10624;5.2716;5.80125;40.9;1.02;;;
25.3481;20301;2.10381;5.22618;5.80013;42.2;1;;;
